split,sample_id,location,selected,category,figure,iou_water_5sa,iou_water_v3,delta_iou_water,f1_water_5sa,f1_water_v3,viol_frac_5sa,viol_frac_v3,delta_viol_frac,viol_pairs_5sa,viol_pairs_v3,desc_pairs,water_frac_5sa,water_frac_v3
valid,India_1018317,India,False,,,0.9589871818832127,0.9580840251701951,-0.000903156713017661,0.9790642743882781,0.9785933727608234,0.0025762129669386004,0.0024967002210454334,-7.951274589316701e-05,162,157,62883,0.7781009965630505,0.7783040659569391
valid,Paraguay_657443,Paraguay,False,,,0.9073452897416402,0.9002708252730574,-0.007074464468582842,0.9514221621241374,0.9475184413713177,0.00279002199433397,0.0027130870812704217,-7.693491306354824e-05,1233,1199,441932,0.24019241333007812,0.239288330078125
valid,Sri-Lanka_101973,Sri-Lanka,False,,,0.19191648822269808,0.17388934314527119,-0.018027145077426893,0.3220300920727599,0.2962618992338054,0.000492092874841175,0.0004152033631472415,-7.688951169393355e-05,256,216,520227,0.005702994167305631,0.005146046241936653
valid,India_70352,India,False,,,0.8118512408056644,0.8097547457392268,-0.002096495066437609,0.8961566187350609,0.8948778807135748,0.0003000963813195479,0.00022342942258827652,-7.666695873127137e-05,137,102,456520,0.0550476739860134,0.05406535160870965
valid,USA_761032,USA,False,,,0.5260972716488731,0.5159938230752261,-0.010103448573646978,0.689467547609794,0.680733410942957,0.0010743089154258909,0.0010054919742242324,-6.881694120165847e-05,562,526,523127,0.03230138292799237,0.03242346208869814
test,USA_504150,USA,False,,,0.59679037111334,0.5939774153074028,-0.0028129558059372117,0.7474874371859296,0.7452770780856423,0.0005113732486427462,0.0004440872948739638,-6.728595376878242e-05,266,231,520168,0.011849263331374987,0.011788223983885612
valid,Paraguay_896458,Paraguay,False,,,0.8352694575587204,0.8315640758982007,-0.003705381660519702,0.9102417676255536,0.9080371108397077,0.0017354141985764218,0.0016693264928478416,-6.608770572858022e-05,709,682,408548,0.1844206782506087,0.1829955376062623
test,Nigeria_22088,Nigeria,False,,,0.36081242532855434,0.34,-0.020812425328554318,0.530289727831431,0.5074626865671641,0.00012154196236250565,6.0770981181252826e-05,-6.0770981181252826e-05,54,27,444291,0.002290631765223718,0.0019897056313609948
test,USA_519181,USA,False,,,0.52,0.5169207883971737,-0.003079211602826315,0.6842105263157895,0.6815395930375092,0.0003660111681313501,0.0003066062141414451,-5.940495398990502e-05,191,160,521842,0.007736707779053665,0.007351398367966673
test,Sri-Lanka_849649,Sri-Lanka,False,,,0.65019676432007,0.6571296723580987,0.006932908038028707,0.788023317435082,0.7930938457254246,0.0001371343568050019,7.902657849779772e-05,-5.8107778307204185e-05,59,34,430235,0.008624837883294304,0.007786184677851765
bolivia,Bolivia_432776,Bolivia,False,,,0.7666256815994867,0.769539501478665,0.00291381987917827,0.8678982645665955,0.869762444789304,0.005540972138226823,0.005485398966339003,-5.557317188782055e-05,1695,1678,305903,0.3826973210358916,0.39446360165467304
valid,Sri-Lanka_321316,Sri-Lanka,False,,,0.9011432003501878,0.8992312868299248,-0.0019119135202629867,0.9480013921983348,0.9469423688052907,0.0012593348551480643,0.0012053227507511947,-5.4012104396869605e-05,443,424,351773,0.34276493230535643,0.34098339392598415
test,Ghana_359826,Ghana,False,,,0.5228758169934641,0.5201920977952412,-0.002683719198222856,0.6866952789699571,0.6843767949454336,0.0003120220367956294,0.0002622516505582897,-4.977038623733967e-05,163,137,522399,0.01332855224609375,0.0132293701171875
valid,USA_225017,USA,False,,,0.7807550444781949,0.7615071835185687,-0.019247860959626162,0.8768809016143772,0.8646086608599305,0.000728319075392964,0.0006785705046694009,-4.9748570723563094e-05,366,341,502527,0.06122729249479282,0.0599340805224729
test,USA_670826,USA,False,,,0.14400476048795002,0.13182503770739065,-0.012179722780559371,0.25175552665799744,0.23294243070362475,0.00020454002389486261,0.00015866188769414575,-4.5878136200716866e-05,107,83,523125,0.00318541803366243,0.0028306349472784703
test,USA_1049586,USA,False,,,0.6297750803284541,0.6147248034310222,-0.01505027689743188,0.7728368017524644,0.7613988490482514,0.00038205383695324546,0.0003398167293503741,-4.2237107602871365e-05,199,177,520869,0.009322257031759781,0.00914290947527484
test,India_592446,India,False,,,0.6147627754787797,0.5771969179752268,-0.0375658575035529,0.7614279754454973,0.73192752458104,0.0005060578775203164,0.00046502615772137183,-4.1031719798944536e-05,222,204,438685,0.034476610728532905,0.03176661986583763
valid,USA_1039203,USA,False,,,0.5743887277248239,0.5348178137651822,-0.03957091395964163,0.7296657015003948,0.6969137430757056,0.0005379205255923826,0.0004977200592669732,-4.020046632540939e-05,281,260,522382,0.008347576608472714,0.008317055304602613
test,Somalia_699062,Somalia,False,,,0.5831559025313461,0.56239907727797,-0.020756825253376077,0.7367005379557681,0.7199173187656873,0.0011340907173309908,0.0010943851342296868,-3.970558310130391e-05,457,441,402966,0.01674138448592336,0.017139988878445346
valid,USA_275372,USA,False,,,0.3950423595858174,0.38664158043273755,-0.008400779153079851,0.5663517768780927,0.5576662143826323,0.00029661892696667915,0.00025834551703549476,-3.827340993118439e-05,155,135,522556,0.006576688614393945,0.00648513378449519
test,Nigeria_225131,Nigeria,False,,,0.42155756207674944,0.39916217833632556,-0.02239538374042388,0.5930924970226281,0.5705731394354149,0.00025622918137901295,0.00021873222800647448,-3.7496953372538475e-05,123,105,480039,0.005753248637333942,0.0050030051190648895
